Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
TC-LOG,40.9881,28.252,86,6350,262,2019-07-14 21:22:45.243375,51.03554521149429
TC-JJI,40.9853,28.4176,79,5100,258,2019-07-14 21:22:45.243443,40.927754140764186
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:45.243478,2.242913743213571
UR-PSC,41.194,28.7291,358,1825,151,2019-07-14 21:22:45.243505,7.418135580144624
A7-BFD,41.0748,28.7316,359,4100,200,2019-07-14 21:22:45.243530,20.609625293568637
TC-JJR,40.9095,29.4273,314,11200,253,2019-07-14 21:22:45.243560,69.37526576702749
TC-LOG,40.9884,28.2594,86,6300,262,2019-07-14 21:22:47.490522,50.51731810832994
TC-JJI,40.9859,28.4223,79,5100,258,2019-07-14 21:22:47.490594,40.61650161464725
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:47.490630,2.242913743213571
UR-PSC,41.1961,28.7291,358,1775,150,2019-07-14 21:22:47.490660,7.187417019677119
A7-BFD,41.079,28.7316,359,4050,199,2019-07-14 21:22:47.490689,20.142947851607328
TC-JJR,40.9119,29.4245,317,11200,254,2019-07-14 21:22:47.490719,69.03029157383348
TC-LOG,40.9884,28.2594,86,6300,262,2019-07-14 21:22:49.672537,50.51731810832994
TC-JJI,40.9859,28.4223,79,5100,258,2019-07-14 21:22:49.672607,40.61650161464725
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:49.672643,2.242913743213571
UR-PSC,41.1961,28.7291,358,1775,150,2019-07-14 21:22:49.672672,7.187417019677119
A7-BFD,41.079,28.7316,359,4050,199,2019-07-14 21:22:49.672700,20.142947851607328
TC-JJR,40.9119,29.4245,317,11200,254,2019-07-14 21:22:49.672730,69.03029157383348
TC-LOG,40.9888,28.2687,86,6200,261,2019-07-14 21:22:51.860951,49.867815177931945
TC-JJI,40.9872,28.4312,79,5050,258,2019-07-14 21:22:51.861013,40.01757496830595
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:51.861045,2.242913743213571
UR-PSC,41.2002,28.729,359,1700,147,2019-07-14 21:22:51.861070,6.738956400435647
A7-BFD,41.0853,28.7314,359,3925,198,2019-07-14 21:22:51.861094,19.44378563074863
TC-JJR,40.9173,29.4194,324,11175,256,2019-07-14 21:22:51.861121,68.33802883155074
TC-LOG,40.9888,28.2687,86,6200,261,2019-07-14 21:22:54.053327,49.867815177931945
TC-JJI,40.9872,28.4312,79,5050,258,2019-07-14 21:22:54.053403,40.01757496830595
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:54.053440,2.242913743213571
UR-PSC,41.2006,28.729,359,1675,147,2019-07-14 21:22:54.053470,6.695119445308822
A7-BFD,41.0853,28.7314,359,3925,198,2019-07-14 21:22:54.053498,19.44378563074863
TC-JJR,40.9173,29.4194,324,11175,256,2019-07-14 21:22:54.053528,68.33802883155074
TC-LOG,40.9888,28.2687,86,6200,261,2019-07-14 21:22:56.259434,49.867815177931945
TC-JJI,40.9879,28.4365,79,5050,258,2019-07-14 21:22:56.259505,39.66983438682568
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:56.259541,2.242913743213571
UR-PSC,41.2006,28.729,359,1675,147,2019-07-14 21:22:56.259571,6.695119445308822
A7-BFD,41.0853,28.7314,359,3925,198,2019-07-14 21:22:56.259599,19.44378563074863
TC-JJR,40.9198,29.4173,326,11175,256,2019-07-14 21:22:56.259630,68.03606941226651
TC-LOG,40.9891,28.2759,86,6125,262,2019-07-14 21:22:58.459960,49.36824425165357
TC-JJI,40.9885,28.4409,79,5025,259,2019-07-14 21:22:58.460034,39.381126091774426
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:22:58.460071,2.242913743213571
UR-PSC,41.2037,28.7289,359,1625,147,2019-07-14 21:22:58.460101,6.357209004667162
A7-BFD,41.091,28.7313,358,3800,198,2019-07-14 21:22:58.460129,18.810978573439545
TC-JJR,40.9238,29.4139,327,11175,257,2019-07-14 21:22:58.460159,67.5506923203431
TC-LOG,40.9891,28.2759,86,6125,262,2019-07-14 21:23:01.652717,49.36824425165357
TC-JJI,40.9885,28.4409,79,5025,259,2019-07-14 21:23:01.652744,39.381126091774426
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:01.652758,2.242913743213571
UR-PSC,41.2037,28.7289,359,1625,147,2019-07-14 21:23:01.652769,6.357209004667162
A7-BFD,41.091,28.7313,358,3800,198,2019-07-14 21:23:01.652779,18.810978573439545
TC-JJR,40.9238,29.4139,327,11175,257,2019-07-14 21:23:01.652790,67.5506923203431
TC-LOG,40.9893,28.2836,86,6050,262,2019-07-14 21:23:03.843633,48.84491092204729
TC-JJI,40.9898,28.4502,79,5000,259,2019-07-14 21:23:03.843704,38.77300859483864
EZ-A015,41.243,28.7281,359,1275,139,2019-07-14 21:23:03.843741,2.242913743213571
UR-PSC,41.2037,28.7289,359,1625,147,2019-07-14 21:23:03.843772,6.357209004667162
A7-BFD,41.093,28.7312,358,3750,198,2019-07-14 21:23:03.843801,18.589242809949305
TC-JJR,40.926,29.4122,327,11175,258,2019-07-14 21:23:03.843831,67.2959067708386
TC-LOG,40.9897,28.2917,86,5975,262,2019-07-14 21:23:06.037996,48.284414040231916
TC-JJI,40.991,28.4592,79,4975,258,2019-07-14 21:23:06.038058,38.19602990089063
